Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
202,Robbie Chosen,29,CAR,WR,6,5,4.5,2.17,34.3,0.83,22.3,10.3,12.0,5.5,11.9,0.0,,0.17,3.7,0.0,86.3,,AndeRo04
202,Robbie Chosen,29,ARI,WR,10,2,1.7,0.7,7.6,0.5,5.2,7.4,2.4,3.4,17.6,0.0,,0.1,5.9,0.1,30.5,,AndeRo04
209,Dante Pettis,27,CHI,WR,17,7,2.41,1.12,14.4,0.53,10.7,9.6,3.71,3.3,9.0,0.06,19.0,0.24,9.8,0.06,79.8,,PettDa00
210,Tre'Quan Smith,26,NOR,WR,15,6,1.8,1.27,18.5,0.93,14.1,11.2,4.4,3.5,12.3,0.13,9.5,0.2,11.1,0.13,85.1,,SmitTr03
212,Tutu Atwell,23,LAR,WR,13,4,2.69,1.38,22.9,0.85,18.3,13.2,4.62,3.3,17.8,0.15,9.0,0.08,2.9,0.08,78.0,,AtweTu00
213,Braxton Berrios,27,NYJ,WR,17,2,1.88,1.06,8.53,0.47,3.12,2.9,5.41,5.1,6.8,0.06,18.0,0.18,9.4,0.06,54.8,,BerrBr00
224,Marquez Callaway,24,NOR,WR,14,3,2.29,1.14,11.3,0.79,8.79,7.7,2.5,2.2,12.4,0.0,,0.21,9.4,0.14,48.7,,CallMa01
228,Michael Thomas,29,NOR,WR,3,3,7.33,5.33,57.0,4.33,50.0,9.4,7.0,1.3,10.8,0.0,,0.33,4.5,0.0,134.7,,ThomMi05
230,Kadarius Toney,23,2TM,WR,9,4,2.22,1.78,19.0,0.89,7.0,3.9,12.0,6.8,3.8,0.44,4.0,0.22,10.0,0.0,135.6,,ToneKa00
230,Kadarius Toney,23,NYG,WR,2,1,1.5,1.0,0.0,0.0,-3.0,-3.0,3.0,3.0,-2.3,0.0,,0.5,33.3,0.0,70.1,,ToneKa00
230,Kadarius Toney,23,KAN,WR,7,3,2.43,2.0,24.4,1.14,9.86,4.9,14.6,7.3,4.8,0.57,3.5,0.14,5.9,0.0,147.8,,ToneKa00
231,Sammy Watkins,29,2TM,WR,12,5,2.25,1.33,27.1,0.92,16.6,12.4,10.5,7.9,13.1,0.0,,0.17,7.4,0.0,101.6,,WatkSa00
231,Sammy Watkins,29,GNB,WR,9,3,2.44,1.44,22.9,1.0,15.8,10.9,7.11,4.9,12.0,0.0,,0.22,9.1,0.0,90.3,,WatkSa00
231,Sammy Watkins,29,BAL,WR,3,2,1.67,1.0,39.7,0.67,19.0,19.0,20.7,20.7,18.0,0.0,,0.0,0.0,0.0,104.2,,WatkSa00
232,Amari Rodgers,23,2TM,WR,16,1,1.56,1.0,12.8,0.75,8.13,8.1,4.63,4.6,9.4,0.13,8.0,0.06,4.0,0.06,86.1,,RodgAm00
232,Amari Rodgers,23,GNB,WR,10,0,0.8,0.4,5.0,0.3,2.8,7.0,2.2,5.5,11.1,0.1,4.0,0.0,0.0,0.1,30.2,,RodgAm00
232,Amari Rodgers,23,HOU,WR,6,1,2.83,2.0,25.7,1.5,17.0,8.5,8.67,4.3,8.6,0.17,12.0,0.17,5.9,0.0,118.3,,RodgAm00
234,Rashod Bateman,23,BAL,WR,6,5,4.67,2.5,47.5,1.17,25.3,10.1,22.2,8.9,13.4,0.17,15.0,0.67,14.3,0.17,98.1,,BateRa00
235,Ashton Dulin,25,IND,WR,12,2,1.83,1.25,17.3,1.0,14.3,11.5,2.92,2.3,11.5,0.08,15.0,0.0,0.0,0.17,75.4,,DuliAs00
237,Trenton Irwin,27,CIN,WR,9,2,2.56,1.67,25.7,1.33,19.1,11.5,6.56,3.9,11.3,0.0,,0.11,4.3,0.0,137.9,,IrwiTr00
239,Zach Pascal,28,PHI,WR,17,2,1.12,0.88,8.82,0.53,3.76,4.3,5.06,5.7,6.1,0.06,15.0,0.06,5.3,0.06,95.2,,PascZa00
242,Justin Watson,26,KAN,WR,17,5,2.0,0.88,18.5,0.71,15.0,17.0,3.53,4.0,18.7,0.0,,0.29,14.7,0.06,84.8,,WatsJu01
247,Ray-Ray McCloud,26,SFO,WR,17,2,1.47,0.82,14.3,0.65,8.88,10.8,5.41,6.6,11.8,0.0,,0.12,8.0,0.0,102.6,,McClRa00
249,Steven Sims,25,PIT,WR,12,2,1.92,1.17,8.67,0.42,1.5,1.3,7.17,6.1,4.5,0.17,7.0,0.08,4.3,0.0,71.6,,SimsSt00
251,Damiere Byrd,29,ATL,WR,14,4,1.64,0.93,19.1,0.64,11.6,12.5,7.5,8.1,20.3,0.07,13.0,0.0,0.0,0.14,90.5,,ByrdDa00
252,Lawrence Cager,25,2TM,WR,7,4,2.71,1.86,16.9,1.14,5.71,3.1,11.1,6.0,5.8,0.14,13.0,0.0,0.0,0.29,62.9,,CageLa01
252,Lawrence Cager,25,NYJ,WR,1,1,1.0,0.0,0.0,0.0,0.0,,0.0,,14.0,0.0,,0.0,0.0,1.0,0.0,,CageLa01
252,Lawrence Cager,25,NYG,WR,6,3,3.0,2.17,19.7,1.33,6.67,3.1,13.0,6.0,5.3,0.17,13.0,0.0,0.0,0.17,85.0,,CageLa01
254,KhaDarel Hodge,27,ATL,WR,17,1,1.18,0.76,11.9,0.41,8.29,10.8,3.59,4.7,13.4,0.0,,0.06,5.0,0.0,115.0,,HodgKh00
257,Sterling Shepard,29,NYG,WR,3,2,8.0,4.33,51.3,1.33,33.0,7.6,18.3,4.2,9.4,0.33,13.0,1.0,12.5,0.0,87.8,,ShepSt00
265,Cedrick Wilson Jr.,27,MIA,WR,15,0,1.2,0.8,9.07,0.53,6.07,7.6,3.0,3.8,10.4,0.0,,0.0,0.0,0.0,89.1,,WilsCe01
